YEAR,Timestep,CHIN_H_MT_KM2,COHO_H_MT_KM2,CHUM_H_MT_KM2,PINK_H_MT_KM2,SOCKEYE_H_MT_KM2,CHIN_H_N,COHO_H_N,CHUM_H_N,PINK_H_N,SOCKEYE_H_N
Title,1,1,1,1,1,1,1,1,1,1,1
Weight,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Type,interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval
1954,51,0,0,0,0,0,0,0,0,0,0
1954,52,0,0,0,0,0,0,0,0,0,0
1954,53,0,0,0,0,0,0,0,0,0,0
1954,54,0,0,0,0,0,0,0,0,0,0
1954,55,0,0,0,0,0,0,0,0,0,0
1954,56,0,0,0,0,0,0,0,0,0,0
1954,57,0,0,0,0,0,0,0,0,0,0
1954,58,0,0,0,0,0,0,0,0,0,0
1954,59,0,0,0,0,0,0,0,0,0,0
1954,60,0,0,0,0,0,0,0,0,0,0
1955,61,0,0,0,0,0,0,0,0,0,0
1955,62,0,0,0,0,0,0,0,0,0,0
1955,63,0,0,0,0,0,0,0,0,0,0
1955,64,0,0,0,0,0,0,0,0,0,0
1955,65,0,0,0,0,0,0,0,0,0,0
1955,66,0,0,0,0,0,0,0,0,0,0
1955,67,0,0,0,0,0,0,0,0,0,0
1955,68,0,0,0,0,0,0,0,0,0,0
1955,69,0,0,0,0,0,0,0,0,0,0
1955,70,0,0,0,0,0,0,0,0,0,0
1955,71,0,0,0,0,0,0,0,0,0,0
1955,72,0,0,0,0,0,0,0,0,0,0
1956,73,0,0,0,0,0,0,0,0,0,0
1956,74,0,0,0,0,0,0,0,0,0,0
1956,75,0,0,0,0,0,0,0,0,0,0
1956,76,0,0,0,0,0,0,0,0,0,0
1956,77,0,0,0,0,0,0,0,0,0,0
1956,78,0,0,0,0,0,0,0,0,0,0
1956,79,0,0,0,0,0,0,0,0,0,0
1956,80,0,0,0,0,0,0,0,0,0,0
1956,81,0,0,0,0,0,0,0,0,0,0
1956,82,0,0,0,0,0,0,0,0,0,0
1956,83,0,0,0,0,0,0,0,0,0,0
1956,84,0,0,0,0,0,0,0,0,0,0
1957,85,0,0,0,0,0,0,0,0,0,0
1957,86,0,0,0,0,0,0,0,0,0,0
1957,87,0,0,0,0,0,0,0,0,0,0
1957,88,0,0,0,0,0,0,0,0,0,0
1957,89,0,0,0,0,0,0,0,0,0,0
1957,90,0,0,0,0,0,0,0,0,0,0
1957,91,0,0,0,0,0,0,0,0,0,0
1957,92,0,0,0,0,0,0,0,0,0,0
1957,93,0,0,0,0,0,0,0,0,0,0
1957,94,0,0,0,0,0,0,0,0,0,0
1957,95,0,0,0,0,0,0,0,0,0,0
1957,96,0,0,0,0,0,0,0,0,0,0
1958,97,0,0,0,0,0,0,0,0,0,0
1958,98,0,0,0,0,0,0,0,0,0,0
1958,99,0,0,0,0,0,0,0,0,0,0
1958,100,0,0,0,0,0,0,0,0,0,0
1958,101,0,0,0,0,0,0,0,0,0,0
1958,102,0,0,0,0,0,0,0,0,0,0
1958,103,0,0,0,0,0,0,0,0,0,0
1958,104,0,0,0,0,0,0,0,0,0,0
1958,105,0,0,0,0,0,0,0,0,0,0
1958,106,0,0,0,0,0,0,0,0,0,0
1958,107,0,0,0,0,0,0,0,0,0,0
1958,108,0,0,0,0,0,0,0,0,0,0
1959,109,0,0,0,0,0,0,0,0,0,0
