year,biweekly,ewe_row,ewe_col,model_time,avg_nitrogen_gN_m2_obs,model_N_bound_gN_m2,model_POC_N_bound_gN_m2
2015,1,90,46,2015-01-08,,0.8698996680225243,0.7070000000000001
2015,1,90,47,2015-01-08,,0.868232633542269,0.7070000000000001
2015,1,90,48,2015-01-08,,0.8854765947055998,0.7070000000000001
2015,1,90,49,2015-01-08,,0.8586686002681959,0.7070000000000001
2015,1,90,50,2015-01-08,,0.8570531130025625,0.7070000000000001
2015,1,90,51,2015-01-08,,0.8725703805508093,0.7070000000000001
2015,1,90,52,2015-01-08,,0.8710058441108558,0.7070000000000001
2015,1,90,53,2015-01-08,,0.8485394053258932,0.7070000000000001
2015,1,90,54,2015-01-08,,0.8294909672623035,0.7070000000000001
2015,1,90,55,2015-01-08,,0.7840351012311876,0.7070000000000001
2015,1,91,46,2015-01-08,,0.8816481471443547,0.7070000000000001
2015,1,91,47,2015-01-08,,0.8999957874051762,0.7070000000000001
2015,1,91,48,2015-01-08,,0.8945036881263367,0.7070000000000001
2015,1,91,49,2015-01-08,,0.8993401963072828,0.7070000000000001
2015,1,91,50,2015-01-08,,0.9086444803725462,0.7070000000000001
2015,1,91,51,2015-01-08,,0.8889899448060894,0.7070000000000001
2015,1,91,52,2015-01-08,,0.8932565510536076,0.7070000000000001
2015,1,91,53,2015-01-08,,0.8754963430231434,0.7070000000000001
2015,1,91,54,2015-01-08,,0.8592966117844911,0.7070000000000001
2015,1,91,55,2015-01-08,,0.8107663647725711,0.7070000000000001
2015,1,92,46,2015-01-08,,0.8884470070770476,0.7070000000000001
2015,1,92,47,2015-01-08,,0.9107680480328851,0.7070000000000001
2015,1,92,48,2015-01-08,,0.9021642619124612,0.7070000000000001
2015,1,92,49,2015-01-08,,0.9179797676552551,0.7070000000000001
2015,1,92,50,2015-01-08,,0.9265825339232109,0.7070000000000001
2015,1,92,51,2015-01-08,,0.938386334971059,0.7070000000000001
2015,1,92,52,2015-01-08,,0.9178737399403469,0.7070000000000001
2015,1,92,53,2015-01-08,,0.9035582612084688,0.7070000000000001
2015,1,92,54,2015-01-08,,0.8917604282605462,0.7070000000000001
2015,1,92,55,2015-01-08,,0.8525338185089638,0.7070000000000001
2015,1,93,46,2015-01-08,,0.9046293164829259,0.7070000000000001
2015,1,93,47,2015-01-08,,0.9343841160798911,0.7070000000000001
2015,1,93,48,2015-01-08,,0.9226869617891498,0.7070000000000001
2015,1,93,49,2015-01-08,,0.9439173021609897,0.7070000000000001
2015,1,93,50,2015-01-08,,0.954391814742004,0.7070000000000001
2015,1,93,51,2015-01-08,,0.9670449876005295,0.7070000000000001
2015,1,93,52,2015-01-08,,0.9432047785941972,0.7070000000000001
2015,1,93,53,2015-01-08,,0.9319798703386912,0.7070000000000001
2015,1,93,54,2015-01-08,,0.9168782755818681,0.7070000000000001
2015,1,93,55,2015-01-08,,0.889730948588578,0.7070000000000001
2015,1,94,46,2015-01-08,,0.9400822162118274,0.7070000000000001
2015,1,94,47,2015-01-08,,0.9648519768186378,0.7070000000000001
2015,1,94,48,2015-01-08,,0.9566673227432183,0.7070000000000001
2015,1,94,49,2015-01-08,,0.9762088045198472,0.7070000000000001
2015,1,94,50,2015-01-08,,0.9877697591490577,0.7070000000000001
2015,1,94,51,2015-01-08,,0.9737582575948901,0.7070000000000001
2015,1,94,52,2015-01-08,,0.9526223084705414,0.7070000000000001
2015,1,94,53,2015-01-08,,0.974694724624045,0.7070000000000001
2015,1,94,54,2015-01-08,,0.9646681672220584,0.7070000000000001
2015,1,94,55,2015-01-08,,0.9204998633819633,0.7070000000000001
2015,1,95,46,2015-01-08,,0.9681818834037982,0.7070000000000001
2015,1,95,47,2015-01-08,,0.9723995104837229,0.7070000000000001
2015,1,95,48,2015-01-08,,0.9949752604432865,0.7070000000000001
2015,1,95,49,2015-01-08,,0.9763709450322205,0.7070000000000001
2015,1,95,50,2015-01-08,,0.9950562020253856,0.7070000000000001
2015,1,95,51,2015-01-08,,0.9833660563989541,0.7070000000000001
2015,1,95,52,2015-01-08,,0.9976303222137501,0.7070000000000001
2015,1,95,53,2015-01-08,,0.9830753218545578,0.7070000000000001
2015,1,95,54,2015-01-08,,0.9674743170510045,0.7070000000000001
2015,1,95,55,2015-01-08,,0.9644700085655784,0.7070000000000001
2015,1,96,46,2015-01-08,,0.9900424020958598,0.7070000000000001
2015,1,96,47,2015-01-08,,0.9977991449581458,0.7070000000000001
2015,1,96,48,2015-01-08,,0.9908128757404634,0.7070000000000001
2015,1,96,49,2015-01-08,,1.0155585208341942,0.7070000000000001
2015,1,96,50,2015-01-08,,1.0057467409230303,0.7070000000000001
2015,1,96,51,2015-01-08,,1.0235256314470897,0.7070000000000001
2015,1,96,52,2015-01-08,,1.0111796943829394,0.7070000000000001
2015,1,96,53,2015-01-08,,1.033491915648337,0.7070000000000001
2015,1,96,54,2015-01-08,,1.017962271305267,0.7070000000000001
2015,1,96,55,2015-01-08,,1.0168167743661904,0.7070000000000001
2015,1,97,46,2015-01-08,,1.0122183020738884,0.7070000000000001
2015,1,97,47,2015-01-08,,1.018715794783784,0.7070000000000001
2015,1,97,48,2015-01-08,,1.0142127587469296,0.7070000000000001
2015,1,97,49,2015-01-08,,1.0468532947239,0.7070000000000001
2015,1,97,50,2015-01-08,,1.0395197779585141,0.7070000000000001
2015,1,97,51,2015-01-08,,1.0260989903733133,0.7070000000000001
2015,1,97,52,2015-01-08,,1.0487224333179181,0.7070000000000001
2015,1,97,53,2015-01-08,,1.0420160636210347,0.7070000000000001
2015,1,97,54,2015-01-08,,1.0324683447927239,0.7070000000000001
2015,1,97,55,2015-01-08,,1.0247236793308978,0.7070000000000001
2015,1,98,46,2015-01-08,,0.9990707273236475,0.7070000000000001
2015,1,98,47,2015-01-08,,1.0334006147379984,0.7070000000000001
2015,1,98,48,2015-01-08,,1.038166466579074,0.7070000000000001
2015,1,98,49,2015-01-08,,1.065717275727773,0.7070000000000001
2015,1,98,50,2015-01-08,,1.0692923351968637,0.7070000000000001
2015,1,98,51,2015-01-08,,1.0569614832429215,0.7070000000000001
2015,1,98,52,2015-01-08,,1.0421278427175709,0.7070000000000001
2015,1,98,53,2015-01-08,,1.0708408862485084,0.7070000000000001
2015,1,98,54,2015-01-08,,1.0736087222581263,0.7070000000000001
2015,1,98,55,2015-01-08,,1.0677446856987662,0.7070000000000001
2015,2,90,46,2015-01-20,,0.7926431271091567,0.6981106591718271
2015,2,90,47,2015-01-20,,0.8059123615180143,0.6981106591718271
2015,2,90,48,2015-01-20,,0.8151364310362841,0.6981106591718271
2015,2,90,49,2015-01-20,,0.8119352442272936,0.6981106591718271
2015,2,90,50,2015-01-20,,0.8030106120151465,0.6981106591718271
2015,2,90,51,2015-01-20,,0.8123380891974079,0.6981106591718271
2015,2,90,52,2015-01-20,,0.8119366957542951,0.6981106591718271
2015,2,90,53,2015-01-20,,0.8357725763441997,0.6981106591718271
2015,2,90,54,2015-01-20,,0.8442763099004513,0.6981106591718271
2015,2,90,55,2015-01-20,,0.8097529040235091,0.6981106591718271
2015,2,91,46,2015-01-20,,0.7915115341427734,0.6981106591718271
2015,2,91,47,2015-01-20,,0.8157968387724832,0.6981106591718271
2015,2,91,48,2015-01-20,,0.8220115641462619,0.6981106591718271
2015,2,91,49,2015-01-20,,0.8279104599787386,0.6981106591718271
2015,2,91,50,2015-01-20,,0.8262288000662812,0.6981106591718271
2015,2,91,51,2015-01-20,,0.8243747937381267,0.6981106591718271
2015,2,91,52,2015-01-20,,0.8279355646516193,0.6981106591718271
2015,2,91,53,2015-01-20,,0.8300261632527695,0.6981106591718271
2015,2,91,54,2015-01-20,,0.8521184010603464,0.6981106591718271
2015,2,91,55,2015-01-20,,0.8458139827733396,0.6981106591718271
2015,2,92,46,2015-01-20,,0.7949086728889962,0.6981106591718271
2015,2,92,47,2015-01-20,,0.8222413074828211,0.6981106591718271
2015,2,92,48,2015-01-20,,0.8320538467890587,0.6981106591718271
2015,2,92,49,2015-01-20,,0.8401416579224168,0.6981106591718271
2015,2,92,50,2015-01-20,,0.8169971677253486,0.6981106591718271
2015,2,92,51,2015-01-20,,0.8396413567690179,0.6981106591718271
2015,2,92,52,2015-01-20,,0.8425276687236037,0.6981106591718271
2015,2,92,53,2015-01-20,,0.8531111035731157,0.6981106591718271
