timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season,year,day_of_year,biweekly,Total_Biomass_C,Total_Biomass_N,N_Free
2161,3.039621e-09,1.916955e-05,0.1066525,0.01277056,0.3083645,0.2860505,0.06787977,0.1469149,0.1317872,0.0008482139,0.01056714,0.1501538,0.00560879,0.216464,0.003819836,0.02188781,0.2236942,0.5990336,0.02854601,0.2057666,1.92486,2.794322,1996-01-02,Winter,1996,2,1,2.5268291024896206,3.375348734074959,27.659134024545732
2162,3.031839e-09,1.913437e-05,0.1051796,0.01261746,0.2992978,0.2795612,0.06628677,0.1415422,0.1228086,0.0008299919,0.009939862,0.1470988,0.005346944,0.2060719,0.002890448,0.01925606,0.3049141,0.6076385,0.02890534,0.2010758,1.868241,2.688009,1996-01-05,Winter,1996,5,1,2.561280513301839,3.4213690706927165,27.613113687927974
2163,3.021172e-09,1.907614e-05,0.1036658,0.01246241,0.2904859,0.2731131,0.06474322,0.1363373,0.1145421,0.0008112972,0.009343943,0.144072,0.005177273,0.1982258,0.002227125,0.01783628,0.2255025,0.6549661,0.03194067,0.1955764,1.816216,2.593315,1996-01-08,Winter,1996,8,1,2.481048297361172,3.3141945458146647,27.720288212806025
2164,3.007658e-09,1.899538e-05,0.1021167,0.01230505,0.2817644,0.2667188,0.06322543,0.1309972,0.1068436,0.0007922183,0.008778675,0.1410794,0.005056458,0.1903112,0.001694308,0.01610818,0.1736308,0.6713755,0.03244967,0.1906887,1.766399,2.500103,1996-01-11,Winter,1996,11,1,2.3959552876876584,3.2005269526255833,27.833955805995107
2165,2.991339e-09,1.889261e-05,0.1005362,0.01214576,0.2731607,0.2603814,0.06171767,0.1255965,0.0996499,0.0007730404,0.00824182,0.1381217,0.004869052,0.1784505,0.00123172,0.01266345,0.1194854,0.5775,0.02537004,0.1879263,1.717116,2.400267,1996-01-14,Winter,1996,14,1,2.1878400480013394,2.9225257573232155,28.111957001297476
2166,2.972288e-09,1.876861e-05,0.09892906,0.01198755,0.2652273,0.2541139,0.06032874,0.1211514,0.09319075,0.0007532018,0.007733014,0.1352035,0.004868142,0.1773767,0.001014794,0.01379894,0.4346067,0.7698255,0.03943583,0.1812936,1.677207,2.340095,1996-01-17,Winter,1996,17,2,2.670857393382288,3.5677423189266446,27.466740439694046
2167,2.950678e-09,1.862513e-05,0.09730952,0.01183144,0.2579588,0.2479881,0.0590604,0.1175603,0.08736912,0.0007325215,0.007259344,0.1323569,0.005016921,0.1836359,0.0007772157,0.01202762,0.406603,0.7279323,0.03368304,0.1767257,1.648486,2.315544,1996-01-20,Winter,1996,20,2,2.565846770280678,3.427468695593269,27.60701406302742
2168,2.926622e-09,1.846324e-05,0.09568118,0.0116755,0.2508727,0.2420084,0.05780967,0.1139609,0.08188352,0.0007115359,0.006817426,0.1295803,0.005044476,0.1832878,0.0005878331,0.01011507,0.3626732,0.6721589,0.02812342,0.1722254,1.621677,2.281799,1996-01-23,Winter,1996,23,2,2.425235697166622,3.2396398443405947,27.794842914280096
2169,2.900225e-09,1.82839e-05,0.09404618,0.01152094,0.244181,0.2361703,0.05663224,0.1107601,0.0768474,0.0006903321,0.006403885,0.1268701,0.005154311,0.1866275,0.0004865073,0.01042684,0.4919002,0.7968192,0.03308946,0.1661738,1.601032,2.264032,1996-01-26,Winter,1996,26,2,2.654818582200225,3.5463176088162123,27.488165149804477
2170,2.871638e-09,1.808857e-05,0.09241233,0.01136847,0.2379244,0.2305047,0.05555119,0.1079994,0.07221407,0.0006687219,0.006020579,0.1242407,0.005421028,0.1968821,0.0004097089,0.01086555,0.4908327,0.8893418,0.03365526,0.1600602,1.588893,2.271417,1996-01-29,Winter,1996,29,3,2.726390999241638,3.641924338617367,27.392558420003322
