Domain,Group,Season,ModelMean,ObsMean,Bias
NSoG,Diatoms,Winter,1.1621354880089543,0.77,0.39213548800895426
NSoG,Diatoms,Spring,2.566466731654683,6.0,-3.433533268345317
NSoG,Diatoms,Summer,1.4033694950036142,1.16,0.24336949500361427
NSoG,Nano,Winter,1.0357004199382478,1.38,-0.3442995800617521
NSoG,Nano,Spring,1.727047739300695,1.85,-0.12295226069930498
NSoG,Nano,Summer,2.2370265775648135,1.9,0.3370265775648136
NSoG,Other,Winter,0.17390776118084317,0.12,0.05390776118084317
NSoG,Other,Spring,0.3151591198482374,0.26,0.0551591198482374
NSoG,Other,Summer,0.3193418108999833,0.34,-0.02065818910001671
CSoG,Diatoms,Winter,1.0590844607839427,0.65,0.40908446078394267
CSoG,Diatoms,Spring,2.728356175602555,8.06,-5.331643824397446
CSoG,Diatoms,Summer,1.5865013073233114,1.34,0.24650130732331132
CSoG,Nano,Winter,0.9688658548976801,1.57,-0.60113414510232
CSoG,Nano,Spring,1.8211679092007786,1.58,0.24116790920077857
CSoG,Nano,Summer,2.418088285136556,1.53,0.8880882851365561
CSoG,Other,Winter,0.15674287821187227,0.12,0.036742878211872276
CSoG,Other,Spring,0.31995213211914714,0.19,0.12995213211914713
CSoG,Other,Summer,0.34534468664140494,0.74,-0.39465531335859505
