season,group,obs_biomass,model_biomass
Fall,ZC1-EUP,0.8233,0.8970877656626506
Spring,ZC1-EUP,0.3837,0.7533760748387096
Summer,ZC1-EUP,1.0216,0.9265972639175257
Winter,ZC1-EUP,0.1843,0.8359554575833859
Fall,ZC2-AMP,0.6214999999999999,0.7237586390361447
Spring,ZC2-AMP,0.38079999999999997,0.6104850866935484
Summer,ZC2-AMP,0.8993000000000001,0.7285921980967486
Winter,ZC2-AMP,0.16749999999999998,0.6896653173064821
Fall,ZC3-DEC,0.045,0.12342867526506024
Spring,ZC3-DEC,0.1431,0.10300998094354838
Summer,ZC3-DEC,0.1395,0.1273426693180016
Winter,ZC3-DEC,0.043000000000000003,0.11123115002517306
Fall,ZC4-CLG,0.7083,0.7288484901204819
Spring,ZC4-CLG,0.8241,0.7998741014516129
Summer,ZC4-CLG,0.7435999999999999,0.8767788881046789
Winter,ZC4-CLG,0.2828,0.7966659713656388
Fall,ZC5-CSM,0.4943,0.711687523373494
Spring,ZC5-CSM,0.5659,0.5347730199435484
Summer,ZC5-CSM,0.7111999999999999,0.7881671385408406
Winter,ZC5-CSM,0.23579999999999998,0.5514576660667087
Fall,Total,2.6923999999999997,3.184811093457831
Spring,Total,2.2976,2.801518263870968
Summer,Total,3.5151999999999997,3.4474781579777956
Winter,Total,0.9134,2.9849755623473886
